Date,Close,High,Low,Open,Volume
09/06/2014,20.60040283,20.63997678,20.17168646,20.38054794,301660000
10/06/2014,20.72132874,20.89721336,20.5718273,20.82685985,251108000
11/06/2014,20.63559151,20.83346135,20.54984819,20.69495162,182724000
12/06/2014,20.29040718,20.69274202,20.20466391,20.67515322,218996000
13/06/2014,20.06835938,20.32339192,19.98041706,20.27062552,218100000
16/06/2014,20.27062607,20.39154696,20.10573485,20.11892729,142244000
17/06/2014,20.24424171,20.38055069,20.1826826,20.29480741,118904000
18/06/2014,20.26622581,20.29040999,20.08374584,20.28601195,134056000
19/06/2014,20.19587326,20.29260996,20.08154776,20.29041094,142112000
20/06/2014,19.98701286,20.34757482,19.98481384,20.19367536,403592000
23/06/2014,19.9694252,20.14311081,19.91885783,20.07715366,174776000
24/06/2014,19.84850693,20.16949499,19.82872078,19.95183903,156144000
25/06/2014,19.86609077,19.94084064,19.70999398,19.8331122,147476000
26/06/2014,19.9848156,20.01779418,19.74297548,19.86829274,130516000
27/06/2014,20.22225761,20.22665397,19.95623167,19.96722508,256116000
30/06/2014,20.4311161,20.6070007,20.24643711,20.24863613,197929200
01/07/2014,20.56083488,20.68175578,20.47509159,20.56083488,152892000
02/07/2014,20.55203819,20.67955277,20.46629323,20.63778148,113860000
03/07/2014,20.67296219,20.68835197,20.49048216,20.59381427,91567200
07/07/2014,21.0994854,21.10388176,20.68835593,20.69715033,225872000
08/07/2014,20.96317291,21.28196365,20.64878021,21.1654391,260888000
09/07/2014,20.97196198,21.0950802,20.83345397,20.98295539,145744000
10/07/2014,20.8950119,21.00713838,20.56083148,20.61359787,158744000
11/07/2014,20.93459511,21.08189757,20.85544717,20.96537468,136072000
14/07/2014,21.20500565,21.30174234,21.02912272,21.07529205,171240000
15/07/2014,20.95657349,21.29295129,20.89281535,21.28195955,181911600
16/07/2014,20.83784485,21.34790809,20.82905045,21.31932756,213585200
17/07/2014,20.46629333,20.94777614,20.35196952,20.89281241,229192000
18/07/2014,20.76089859,20.82905307,20.45090237,20.58281666,199952000
21/07/2014,20.65317917,20.88622493,20.6048108,20.88402591,156316000
22/07/2014,20.82466316,20.8620381,20.69275051,20.81586876,220788000
23/07/2014,21.36770058,21.51939933,20.92359269,20.97855642,371672000
24/07/2014,21.33252144,21.39627956,21.19840981,21.33472046,182916000
25/07/2014,21.47323418,21.51060912,21.24678383,21.29295317,173876000
28/07/2014,21.77003098,21.81839932,21.44684569,21.50620577,221272000
29/07/2014,21.6293335,21.86238093,21.60075295,21.83819674,172572000
30/07/2014,21.57876778,21.69968702,21.47323664,21.64252593,132040000
31/07/2014,21.01812935,21.4248606,20.95876926,21.36110415,227372000
01/08/2014,21.13465691,21.24238705,20.84444842,20.86423624,194044000
04/08/2014,21.01592827,21.23358582,20.92358962,21.18741649,159832000
05/08/2014,20.91260529,21.03572353,20.74551504,20.96537001,223732000
06/08/2014,20.87742805,20.99175358,20.82246431,20.83125871,154232000
07/08/2014,20.87521172,21.20000454,20.79125022,20.97463785,186844000
08/08/2014,20.93265915,20.95033543,20.61007456,20.82660482,167460000
11/08/2014,21.20884895,21.2287352,20.95475781,21.04976574,146340000
12/08/2014,21.20443344,21.40549575,21.12489183,21.21989977,135180000
13/08/2014,21.48503304,21.48503304,21.21989549,21.24419996,127664000
14/08/2014,21.54247475,21.55794107,21.3878115,21.50491391,112464000
15/08/2014,21.64853859,21.69493758,21.40107562,21.6308623,195804000
18/08/2014,21.90925407,21.95565306,21.64853478,21.7612173,190288000
19/08/2014,22.2119503,22.24509291,21.94460285,21.96448908,277596000
20/08/2014,22.22078896,22.33568143,22.08380029,22.19206626,210796000
21/08/2014,22.22300339,22.30254499,22.11915731,22.22079343,133912000
22/08/2014,22.38650513,22.41964774,22.13683389,22.15892841,176736000
25/08/2014,22.43511009,22.57430704,22.37766301,22.49034722,161080000
26/08/2014,22.291502,22.42628077,22.28487381,22.40860448,132608000
27/08/2014,22.56546593,22.66268379,22.24950956,22.320213,209476000
28/08/2014,22.59198761,22.70909006,22.43953258,22.44616077,273840000
29/08/2014,22.64722252,22.73560226,22.58093729,22.72676412,178380000
02/09/2014,22.82397652,22.92119269,22.69582601,22.77094767,214256000
03/09/2014,21.86064529,22.8018847,21.7811037,22.77979018,501684000
04/09/2014,21.67947006,22.11473724,21.60655664,21.84076154,342872000
05/09/2014,21.86727142,21.96006938,21.72144462,21.82971059,233828000
08/09/2014,21.73249245,21.94239283,21.66399896,21.94018456,185426800
09/09/2014,21.6507473,22.77537626,21.24199283,21.89158209,759385200
10/09/2014,22.3157959,22.34010037,21.59992331,21.65516043,403478400
11/09/2014,22.41081047,22.41302043,22.01089415,22.1854437,249412400
12/09/2014,22.46162224,22.57872466,22.33347172,22.36219442,250504400
15/09/2014,22.45500183,22.76875007,22.41302275,22.7157212,245266000
16/09/2014,22.28486633,22.37324607,21.84959751,22.05066146,267632400
17/09/2014,22.44394684,22.49255577,22.22520663,22.37545166,243706000
18/09/2014,22.490345,22.61407561,22.43952611,22.52127765,149197600
19/09/2014,22.30696106,22.61407935,22.20532495,22.60082298,283609600
22/09/2014,22.32905579,22.56768058,22.22300145,22.4925589,211153600
23/09/2014,22.67815208,22.7444373,22.21416061,22.22741698,253608800
24/09/2014,22.48150635,22.72454932,22.35998402,22.57209603,240687200
25/09/2014,21.62423134,22.2517243,21.59108872,22.20753527,400368000
26/09/2014,22.26056099,22.26056099,21.74133236,21.77005506,249482000
29/09/2014,22.11915207,22.19206547,21.79214758,21.7965675,199065200
30/09/2014,22.26056099,22.4351105,22.21195205,22.27381736,221056400
01/10/2014,21.91366959,22.24730225,21.80761358,22.22520606,205965200
02/10/2014,22.07275391,22.14345735,21.66178959,21.93355528,191031200
03/10/2014,22.01089478,22.14125361,21.88274421,21.97112397,173878400
06/10/2014,22.01089478,22.23847151,21.96670405,22.08380651,148204800
07/10/2014,21.81866455,22.12136461,21.81424632,21.9689096,168376800
08/10/2014,22.27161217,22.34010567,21.72144912,21.82087697,229618800
09/10/2014,22.32021141,22.62070143,22.22962342,22.43510555,309506000
10/10/2014,22.25614548,22.54337755,22.16113754,22.24730733,265326400
13/10/2014,22.05286598,22.48813473,22.05286598,22.3887086,214333600
14/10/2014,21.81866455,22.20974266,21.77889375,22.18101996,254754400
15/10/2014,21.55131531,21.9070425,21.02987675,21.64632322,403734400
16/10/2014,21.26850319,21.5910878,21.0806973,21.11162996,288618000
17/10/2014,21.58004379,21.87390576,21.39002791,21.54248294,272718800
